Business Process,Operating Unit,Customer#,Job Type,SR Type,User Defined Template
Setup Business Process,NSORO_1802_OU1,1018,PITS,MAINTENANCE,PITS USER ATTRIBUTES
Setup Business Process,NSORO_1802_OU1,1018,BSW,DROPS,PITS USER ATTRIBUTES
